Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,angles,velocity,roughness
41,0.1518605053424835,-0.5063470602035522,-0.412882387638092,0.1381805092096328,-0.6699655652046204,-0.4497345685958862,0.1458582580089569,-0.8662939667701721,-0.4770011007785797,0.2897915542125702,-0.7565690279006958,-0.1957723051309585,-29.82042152783069,0.1516053902914582,-0.506358595754315,0.1459112390304482,-0.8665110834759431,0.2897832054600772,-0.756578347589692,-29.840002325746255,1.0237748133998537,7.253570906134734e-05
42,0.1512661725282669,-0.5064272284507751,-0.4136755466461181,0.1381813883781433,-0.6700889468193054,-0.4503986835479736,0.1460558027029037,-0.8667528033256531,-0.473814308643341,0.2898317873477936,-0.7565900087356567,-0.1958348155021667,-29.81059669678457,0.1514511331890172,-0.5064266787302565,0.1460389876467647,-0.8668613689228452,0.2898442236236469,-0.7566097392510429,-29.82808165426188,0.7152402890625353,7.051803330110847e-05
43,0.1512120366096496,-0.5065730214118958,-0.4139555990695953,0.1383480280637741,-0.6703433990478516,-0.4505269825458526,0.1462332904338836,-0.8673754930496216,-0.4896568059921264,0.2898776531219482,-0.7566543817520142,-0.1958437263965606,-29.798159745986347,0.1513343343287809,-0.5065337657771979,0.1461552796421463,-0.8672352464038623,0.2899204254626757,-0.7566511215912989,-29.82195278927875,0.367731898987742,7.027459931569841e-05
44,0.1512065678834915,-0.5066233277320862,-0.4150520265102386,0.1383693069219589,-0.6704651713371277,-0.456950694322586,0.1462548226118087,-0.867676854133606,-0.5070314407348633,0.2899308204650879,-0.7567245364189148,-0.1959710270166397,-29.801671223061685,0.1512554501126007,-0.5066830765202729,0.1462595475190011,-0.8675969777665354,0.2900171698412222,-0.7567069967173525,-29.82239592304559,-0.0265880260104012,7.878758030342714e-05
45,0.1512008756399154,-0.5067711472511292,-0.4157111346721649,0.13838791847229,-0.6706989407539368,-0.4581144154071808,0.146319568157196,-0.8680921792984009,-0.5055170059204102,0.2901040315628052,-0.756725549697876,-0.1961105465888977,-29.835536641457637,0.1512061991348355,-0.5068705256778179,0.1463510181973314,-0.8679143652357342,0.2901325935236465,-0.7567797740345926,-29.829617923903797,-0.4333200514923874,9.312276326737233e-05
46,0.1512241810560226,-0.5069965720176697,-0.4269551634788513,0.1383818984031677,-0.6710014939308167,-0.4643636345863342,0.1464912742376327,-0.8682342767715454,-0.50423663854599,0.290299117565155,-0.7568352818489075,-0.1964087635278701,-29.853529591282403,0.1511708865030648,-0.5070826694057301,0.1464303551196307,-0.8681690927243012,0.2902573403896735,-0.7568686052987286,-29.842656540126185,-0.7823169733433133,0.00010015390018772082
47,0.1511775404214859,-0.5073488354682922,-0.4292479753494262,0.1383179128170013,-0.6712530851364136,-0.4663479626178741,0.1465189456939697,-0.8683395981788635,-0.5035015344619751,0.2903932929039001,-0.7569941878318787,-0.1965316236019134,-29.88576411420491,0.1511317065065964,-0.5072976762593127,0.1465000810838994,-0.8683601595123641,0.2903773460735377,-0.7569690623859608,-29.85920536413392,-0.9929294404641098,8.501216892664966e-05
48,0.151146575808525,-0.507579505443573,-0.4292756021022796,0.1383115947246551,-0.6714215874671936,-0.4690025746822357,0.1465401202440261,-0.868425726890564,-0.5131320357322693,0.2905181348323822,-0.7571069598197937,-0.1966152638196945,-29.916573069397664,0.1510747656665537,-0.5074904673286497,0.1465640738265102,-0.868499939095753,0.290478238547788,-0.7570741539465505,-29.875977076170074,-1.0063027221691812,4.844709069135344e-05
49,0.1509876549243927,-0.507720947265625,-0.428893893957138,0.1383036822080612,-0.6715736985206604,-0.4688042104244232,0.1465602666139602,-0.8685460686683655,-0.511482298374176,0.290544182062149,-0.7572261095046997,-0.1966284811496734,-29.922729221840623,0.1509941262130305,-0.5076403858505254,0.146626038170088,-0.8686057937613715,0.2905493625889077,-0.7571762218943282,-29.889513554550373,-0.8121887028179486,1.4899416307814032e-05
50,0.1508680135011673,-0.5078080296516418,-0.4287907183170318,0.1383117437362671,-0.6715489625930786,-0.4711993336677551,0.1466747969388961,-0.8685640096664429,-0.5243419408798218,0.2906116843223572,-0.7572299838066101,-0.1967553198337555,-29.92655001353009,0.1508927326951406,-0.5077377313974242,0.1466875887758761,-0.868691554767495,0.2905862973690556,-0.757268310819586,-29.897181057355027,-0.4600501682792668,1.3557714876825894e-05
51,0.1507887095212936,-0.5077692866325378,-0.425420880317688,0.1383599042892456,-0.6715514063835144,-0.4711488485336303,0.1467568576335907,-0.8687513470649719,-0.5309366583824158,0.2906247675418854,-0.7572985887527466,-0.1968107223510742,-29.90615866530524,0.1507807490472473,-0.5077861220940595,0.1467474106298774,-0.8687624101205648,0.290591765716697,-0.7573440645466337,-29.897998581461103,-0.0490514463645297,4.632519617579921e-05
52,0.1506654918193817,-0.5077713131904602,-0.423870325088501,0.138387843966484,-0.6716130375862122,-0.4710014164447784,0.1468450874090194,-0.8688411712646484,-0.5292249917984009,0.2906245291233063,-0.7573990225791931,-0.1968268901109695,-29.88430068753359,0.1506727828646486,-0.5078000414233459,0.1468022940065457,-0.86881487455733,0.2905750600897722,-0.7573967262940547,-29.89298524815919,0.3007999981148401,8.02257285828274e-05
53,0.1505916267633438,-0.507767915725708,-0.4228647947311401,0.1384254693984985,-0.6716803908348083,-0.4702576100826263,0.1468681544065475,-0.8689336180686951,-0.5272868871688843,0.2904769778251648,-0.7574042677879333,-0.196819320321083,-29.855048705727793,0.1505851480610816,-0.5077991566714478,0.1468492871956418,-0.8688412643357254,0.2905498160758242,-0.7574187025317517,-29.88487701643745,0.4864939033043214,7.94325842401542e-05
