Frame #,Right_Knee (X),Right_Knee (Y),Right_Knee (Z),Left_Knee (X),Left_Knee (Y),Left_Knee (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Left_Hip (X),Left_Hip (Y),Left_Hip (Z),Nose (X),Nose (Y),Nose (Z),Left_Hip (X)_smoothed,Left_Hip (Y)_smoothed,Left_Knee (X)_smoothed,Left_Knee (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,angles,velocity,roughness
42,0.566950798034668,-0.6795417666435242,0.0848995000123977,0.4748450517654419,-0.6781120896339417,-0.0290372278541326,0.5709844827651978,-0.5666993856430054,0.01522858440876,0.477460116147995,-0.5682640075683594,-0.0158098209649324,0.5145466923713684,-0.3880421817302704,0.2218450009822845,0.4774752283285375,-0.568273261780635,0.4748488377572142,-0.6781335948860837,0.514492382957763,-0.3880044594395221,190.29072275917989,-2.246389440367693,8.667216820980839e-05
43,0.5669419169425964,-0.6795489192008972,0.085533432662487,0.4748067855834961,-0.6781482100486755,-0.0283770263195037,0.5710140466690063,-0.5667272210121155,0.0151837971061468,0.4774962365627289,-0.5683045983314514,-0.0157647933810949,0.5145764946937561,-0.3879924416542053,0.2074599266052246,0.477491211197426,-0.5683223274831581,0.4748184689676544,-0.6781628605538232,0.5146051890242715,-0.3879852407806664,190.26859069393484,-1.327923914702751,0.0002279364170733987
44,0.5669345259666443,-0.6795540452003479,0.0854457393288612,0.4747966527938843,-0.6781912446022034,-0.027945352718234,0.5710206627845764,-0.5667678117752075,0.0150624802336096,0.4775062799453735,-0.5683707594871521,-0.0156430900096893,0.514708936214447,-0.3880031406879425,0.2018994092941284,0.477507306309567,-0.5683625985125523,0.4747956730488433,-0.6781928219442834,0.5147710661306708,-0.3880214788478354,190.26530575348193,-0.1970964271748698,0.00044560415223686656
45,0.5669173002243042,-0.6795580387115479,0.0858942121267318,0.4747852385044098,-0.6782318353652954,-0.0286327004432678,0.571052074432373,-0.5668286085128784,0.015887688845396,0.4775280952453613,-0.5684089064598083,-0.0164719223976135,0.5147755146026611,-0.3880179524421692,0.2069645375013351,0.4775213843388753,-0.568393073334003,0.4747786381752426,-0.6782206123073317,0.5149863673959846,-0.388115354893174,190.28295714298335,1.059083370085432,0.0007044255553612754
46,0.5668667554855347,-0.6795612573623657,0.0889477506279945,0.4747789204120636,-0.6782599687576294,-0.0286453757435083,0.571089506149292,-0.5668496489524841,0.0160123743116855,0.4775340855121612,-0.5684182643890381,-0.0166017170995473,0.5153946876525879,-0.388223797082901,0.2220114022493362,0.4775311337271382,-0.5684133567717313,0.4747651768805893,-0.6782426269997591,0.5152389071835582,-0.3882601536826466,190.32147049991624,2.3108014159737422,0.0009220632463184052
47,0.5668569207191467,-0.6795629858970642,0.0879250615835189,0.4747598171234131,-0.6782512068748474,-0.0294396504759788,0.571114718914032,-0.5668528079986572,0.0160664413124322,0.4775362908840179,-0.5684182643890381,-0.0166597887873649,0.5155644416809082,-0.3884320557117462,0.221352681517601,0.4775346276665592,-0.5684239917061819,0.4747535128124443,-0.6782557024249105,0.5155116566151973,-0.388439561996292,190.37857376115863,3.426195674543351,0.0010031730235360496
48,0.5668466687202454,-0.6795662641525269,0.0878200978040695,0.4747386276721954,-0.6782557368278503,-0.0296877194195985,0.571125864982605,-0.5668553709983826,0.0160465408116579,0.477532684803009,-0.5684201717376709,-0.0166390258818864,0.515952467918396,-0.3886198997497558,0.2212468534708023,0.4775306673539322,-0.5684263712882478,0.474742699513114,-0.6782579156513953,0.5157893222878864,-0.3886301945992436,190.4506072606099,4.322009967075928,0.0009073106065568517
49,0.5668390393257141,-0.6795632839202881,0.0879726111888885,0.4747271537780761,-0.6782514452934265,-0.0297370310872793,0.5711341500282288,-0.5668590068817139,0.0163026396185159,0.4775342047214508,-0.5684239864349365,-0.0169021394103765,0.5160923600196838,-0.3888799548149109,0.2217202931642532,0.4775188770287734,-0.5684223623942251,0.4747325299028588,-0.6782488979387065,0.5160633352822971,-0.3888069352182284,190.53370705581543,4.985987712331621,0.0006855454614050305
50,0.5668331384658813,-0.6795556545257568,0.0876200273633003,0.4747209250926971,-0.6782461404800415,-0.0298872422426939,0.57109534740448,-0.5668483972549438,0.016295762732625,0.4774746894836426,-0.5684118866920471,-0.0168940499424934,0.5161803364753723,-0.3890601098537445,0.2217368632555008,0.4774995470260279,-0.5684139562512649,0.4747231194805691,-0.6782298719247835,0.5163315035684797,-0.3889493409536302,190.6246145927332,5.454452215066112,0.0004391699469237002
51,0.5667912364006042,-0.6795539259910583,0.0844475999474525,0.4747129678726196,-0.6781927943229675,-0.0316440425813198,0.5710749626159668,-0.5668643712997437,0.0161845367401838,0.4774676263332367,-0.5684175491333008,-0.0167848970741033,0.5164177417755127,-0.3890667855739593,0.2119811624288559,0.4774732828746795,-0.5684030816924303,0.4747144814435211,-0.678203536618722,0.516592802598153,-0.3890466982683992,190.7207009446439,5.7651811146428145,0.0002437402858469296
