Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
32,0.7093707323074341,-0.4689728319644928,-0.3919282853603363,0.6344485282897949,-0.6357730031013489,-0.4694206416606903,0.5014764666557312,-0.8127882480621338,-0.8510600924491882,0.7710360884666443,-0.7167700529098511,-0.0526991076767444,45.134455429397576,0.7093556690248676,-0.4689977247907976,0.7710929675353263,-0.7167218607772334,0.5014743970881512,-0.8127680566975835,45.10797103690781,1.9141712774153063,0.0001975742204146442
33,0.709339439868927,-0.4689345061779022,-0.3896589279174804,0.6344377398490906,-0.6359010934829712,-0.4666208326816559,0.5018187165260315,-0.8127859234809875,-0.8455715775489807,0.771665632724762,-0.7167021632194519,-0.0509379021823406,45.231611392318655,0.7093415702253688,-0.4689434671387075,0.7715651622759977,-0.7166643503777532,0.5017848109605287,-0.8127074198913888,45.15386304650104,2.7535205755934555,0.0003089884577086215
34,0.7093009948730469,-0.4688979387283325,-0.3860816657543182,0.6344588398933411,-0.6359005570411682,-0.4608422517776489,0.5022302865982056,-0.8126454949378967,-0.8293027877807617,0.7720323204994202,-0.7165553569793701,-0.0495963133871555,45.278408749951666,0.7093257482206525,-0.4688943381793515,0.7720894280980092,-0.7165823401815882,0.5021060347746209,-0.8126251955582201,45.2136011196056,3.5842843862737084,0.0004061215595284524
35,0.7092908620834351,-0.4688540995121002,-0.3868681490421295,0.6345070600509644,-0.635883629322052,-0.4617041647434234,0.5024739503860474,-0.8125106692314148,-0.8294875621795654,0.7723881602287292,-0.7164918184280396,-0.0491632856428623,45.33468564477721,0.7093055242098719,-0.468854410616607,0.7726244874823582,-0.7164767758746547,0.5024136480259312,-0.8125290241267242,45.28477386777519,4.270364890175671,0.00043169144662505996
36,0.7092788815498352,-0.4688157141208648,-0.3871573805809021,0.6345661282539368,-0.6358426809310913,-0.4610942900180816,0.5026994347572327,-0.8124426603317261,-0.8266817331314087,0.7731717824935913,-0.7163324952125549,-0.0472341775894165,45.48728794089823,0.709277622202185,-0.468826339949012,0.7731237373062438,-0.7163530793110192,0.5026912523277011,-0.812430656475059,45.36250058011595,4.663602740445327,0.00034770106091823764
37,0.7092669606208801,-0.4688054919242859,-0.3888749480247497,0.6347076892852783,-0.63576340675354,-0.4608669877052307,0.5029281973838806,-0.8122901320457458,-0.8269768357276917,0.773864209651947,-0.7162444591522217,-0.0459478683769702,45.625431925806254,0.7092387828934792,-0.4688111801781332,0.7735434325419795,-0.7162197345216131,0.5029318703306161,-0.8123425877024815,45.440040749056784,4.652410136450129,0.00018503371752463492
38,0.7092007398605347,-0.4688143134117126,-0.3892679512500763,0.634745180606842,-0.635750412940979,-0.4604950845241546,0.5030461549758911,-0.8122292757034302,-0.8198311924934387,0.7739688158035278,-0.716084897518158,-0.0457933768630027,45.65456342091176,0.7091869193833767,-0.4688084566586508,0.7738535487817302,-0.7160868633768471,0.5031354772627217,-0.8122743981359623,45.510311139264594,4.216223412468594,5.3749060984122615e-05
39,0.7091150283813477,-0.468828797340393,-0.3946026265621185,0.634753406047821,-0.6357868909835815,-0.4607858657836914,0.5032766461372375,-0.8122106194496155,-0.8182693123817444,0.7739473581314087,-0.7159520387649536,-0.0454400889575481,45.64051769090156,0.7091220927092263,-0.4688165242342582,0.7740456103237703,-0.7159647586248991,0.5033050873588562,-0.8122301675389347,45.56774960162727,3.446307741760535,6.80887318959382e-05
40,0.7090728282928467,-0.4688259959220886,-0.3979349136352539,0.6347602605819702,-0.6358191967010498,-0.4625388085842132,0.5034592151641846,-0.8122137784957886,-0.8178589940071106,0.7741596102714539,-0.7158539295196533,-0.0452801883220672,45.67310756392476,0.7090467098829009,-0.4688330630394563,0.774132484201313,-0.7158622582348979,0.5034439697711157,-0.8122079451781243,45.60962184654593,2.512334695119449,0.00023476683536594685
41,0.7089289426803589,-0.4688524007797241,-0.4013563990592956,0.6347577571868896,-0.6359826922416687,-0.4654323160648346,0.5036025047302246,-0.8122301697731018,-0.8092844486236572,0.7740671634674072,-0.715755820274353,-0.0457605123519897,45.65683911057812,0.7089648902926978,-0.4688554491141159,0.7741413686698365,-0.7157851750846878,0.5035552413913581,-0.8122014144835439,45.63625200516257,1.5978095169984383,0.00043101604934599284
