Frame #,Nose (X),Nose (Y),Nose (Z),Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Shoulder (X)_smoothed_smoothed,Right_Shoulder (Y)_smoothed_smoothed,Nose (X)_smoothed_smoothed,Nose (Y)_smoothed_smoothed,Right_Pinky (X)_smoothed_smoothed,Right_Pinky (Y)_smoothed_smoothed,angles,velocity,roughness
1749,0.2119040787220001,-0.5007215142250061,0.1644833832979202,0.2743233144283294,-0.4764525294303894,-0.0965147912502288,0.3424080908298492,-0.4657377600669861,-0.0827145874500274,0.3067916631698608,-0.4557746052742004,0.1007128879427909,0.2749480991609544,-0.4776317088164801,0.2118993082065384,-0.5004945758351126,0.3018374389353968,-0.4545967424545452,0.2752229462341917,-0.4783811842542836,0.2139565199340147,-0.5000084655358836,0.3018266510194545,-0.4539908456558414,153.13525925604085,151.7318184553352,0.22729670956788697
1750,0.2109834104776382,-0.4988836646080017,0.1670724302530288,0.2747810482978821,-0.4761521220207214,-0.1021110638976097,0.3445525467395782,-0.4656392335891723,-0.0619029365479946,0.3048127889633178,-0.4540682733058929,0.1648491024971008,0.2748631740973686,-0.4771203194795762,0.2116702931498376,-0.4995068226972906,0.3001246377895972,-0.4545135884929117,0.2750790373794624,-0.4778768383444005,0.2130420292203438,-0.4998078084004462,0.3011458457275116,-0.4541999427906695,154.7691010682952,98.0305087352616,0.6827699482392794
1751,0.2115940749645233,-0.4976246654987335,0.0863016694784164,0.2751116156578064,-0.4763163328170776,-0.166198045015335,0.3413048088550567,-0.4659036695957184,-0.0865100622177124,0.2939556241035461,-0.4539653658866882,0.181968554854393,0.2747965215641104,-0.4768100896067134,0.211746657692566,-0.4983765290031524,0.297698639484942,-0.4543475680301747,0.2749660310533215,-0.4774501388493254,0.2125238806092326,-0.4992352966415285,0.2997669632304837,-0.4542589928864715,155.32317030025837,33.244153917789276,1.4334157811120354
1752,0.2121001034975052,-0.4965609610080719,0.0746023803949356,0.2755337655544281,-0.4763552844524383,-0.185157909989357,0.3393408060073852,-0.4657462537288666,-0.0879708006978035,0.2914356887340545,-0.4538893103599548,0.1518673151731491,0.2747365024170544,-0.4767100261127324,0.2119666532054472,-0.4973116072180147,0.2950961930101576,-0.4541887481116748,0.2748742195988147,-0.4771540937546881,0.2123009896477184,-0.4984658208721229,0.2978986551423532,-0.4542308949765528,154.76770065235505,-33.32817887419935,2.2326480357278258
1753,0.2125113606452942,-0.4964715242385864,0.1181881427764892,0.2746957540512085,-0.4770841598510742,-0.1654802113771438,0.3292756676673889,-0.4656919538974762,-0.1835083067417144,0.2917508482933044,-0.4540657699108124,-0.0990657359361648,0.2746760517454611,-0.4767496661402404,0.2121689440298403,-0.4964315877261057,0.2928592949120089,-0.4541015328092059,0.2747949524574734,-0.476992322708909,0.2122481714005672,-0.4976521276137158,0.2958829110502154,-0.454179150109614,153.272001330335,-89.74195932120267,2.6240388303730247
1754,0.2126595079898834,-0.4962584376335144,0.1603238582611084,0.2742024064064026,-0.4771676361560821,-0.134047582745552,0.3251833021640777,-0.4644515216350555,-0.2023263126611709,0.2916998267173767,-0.4541654586791992,-0.1957848370075225,0.2746184811498363,-0.4768152880448162,0.2122260251030601,-0.4957706850655797,0.2913462628432225,-0.4541101412233544,0.2747243639344187,-0.4769215088432719,0.2122393128815644,-0.4968995505944613,0.2940682517674182,-0.4541515465551101,151.19498571054314,-124.62093718751191,2.2707890928750287
1755,0.212056815624237,-0.4960033595561981,0.1455197483301162,0.2738879919052124,-0.4774049818515777,-0.1385755836963653,0.3240160644054413,-0.4644048511981964,-0.1934713125228881,0.2908588349819183,-0.4542431235313415,-0.1172676831483841,0.2745636569702943,-0.4768023079821412,0.2120729508302964,-0.495310969294764,0.2906729393992803,-0.4541998259232421,0.274660081148769,-0.4768738284988196,0.2121727680610573,-0.4962641180745823,0.292710126820163,-0.4541708583023628,149.00740976200848,-131.2545569120795,1.328180194780104
1756,0.2115882486104965,-0.4951406419277191,0.0930316150188446,0.2740575075149536,-0.4773003160953522,-0.1829402148723602,0.324958473443985,-0.4635578393936157,-0.1813009679317474,0.2911723554134369,-0.4541718065738678,-0.013825767673552,0.2744901381808028,-0.4766594631574941,0.21172015386879,-0.4950202490903012,0.2907574582390129,-0.4543263402707201,0.2745921039615825,-0.4767880823622894,0.2119917223841504,-0.4957665704808699,0.2919290593877029,-0.4542330510897057,147.16980610742053,-110.25621927527708,0.43161576656128336
1757,0.2117881923913955,-0.4944717586040497,0.0522071979939937,0.2749876677989959,-0.4763286411762237,-0.206180453300476,0.328683078289032,-0.4620145261287689,-0.1318427920341491,0.2908054888248443,-0.4541980624198913,0.1733907163143158,0.2743549942531174,-0.4764068150003531,0.211249838811061,-0.4948713551883977,0.2914009919010379,-0.4544278961694155,0.2744972600781965,-0.4766355754175149,0.2116949689549148,-0.4954084843638811,0.2917178323930369,-0.4543109891215895,146.0171255128745,-69.16083567276246,0.18188639185432817
1758,0.2112245559692382,-0.4945005178451538,0.0417201705276966,0.2750609219074249,-0.475524753332138,-0.2263076156377792,0.3320697546005249,-0.4614884257316589,-0.1418130844831466,0.2933158278465271,-0.4545966684818268,0.1196921169757843,0.2741178499096448,-0.4761213489964767,0.210800558494728,-0.4948382154782863,0.2923657807119873,-0.4544398970441856,0.2743454960107759,-0.4764298848490996,0.2113372047708402,-0.4951803768096431,0.2919770117206171,-0.4543625522906279,145.688980767074,-19.68868474802832,0.6030452403734505
