Frame #,body X,body Y,hand X,hand Y,shoulder X,shoulder Y,shoulder X_smoothed,shoulder Y_smoothed,body X_smoothed,body Y_smoothed,hand X_smoothed,hand Y_smoothed,velocity,roughness,angles
62,362.5,1357.47216796875,366.6495666503906,1866.320556640625,203.5,1192.5,203.4598954368473,1192.5380048175457,362.4957614708721,1357.54494110593,366.5654805615473,1866.335066222643,1.0748501458522242,3.108045895122255e-05,329.63657245709015
63,362.5,1357.47216796875,366.6495666503906,1866.320556640625,203.5,1192.5,203.46279207824944,1192.5704709321165,362.4651070297299,1357.5130711123452,366.5719777375159,1866.275562340753,0.5717980362851449,2.671176367503994e-05,329.6461024243616
64,362.5,1357.47216796875,366.6495666503906,1866.320556640625,203.3763427734375,1192.6688232421875,203.4490707091403,1192.6040100582932,362.426293225718,1357.4398552794862,366.5433783331463,1866.352881705763,-0.0424491484795908,9.583982275804942e-05,329.6453949385536
65,362.3579406738281,1357.53466796875,366.1985778808594,1866.48583984375,203.3763427734375,1192.6688232421875,203.4258070436557,1192.6284873951397,362.3810582456365,1357.3309271549178,366.50035922963656,1866.541330547981,-0.6014086451807543,0.00017686284018261523,329.6353714611339
66,362.2072143554687,1357.5450439453125,366.1985778808594,1866.48583984375,203.3763427734375,1192.6688232421875,203.39876749018111,1192.6370862627646,362.33219257808446,1357.2170499703818,366.459207753942,1866.786465936836,-0.9151268624839304,0.00018622710518921277,329.62011934675917
67,362.3144226074219,1357.364013671875,366.4207153320313,1866.935302734375,203.3763427734375,1192.6688232421875,203.37007369059964,1192.6295787108884,362.28147125929337,1357.1588879710257,366.422431182737,1867.01009521602,-0.7886226746757075,0.00010549517016287692,329.6069756355146
68,362.2017517089844,1357.6754150390625,366.4207153320313,1866.935302734375,203.3763427734375,1192.6688232421875,203.33831169140524,1192.613142424011,362.2285827028409,1357.2390362960944,366.37850985255653,1867.1229061514591,-0.0621776366040194,4.6203508805990624e-05,329.6059393415712
69,362.3144226074219,1357.364013671875,366.5842590332031,1866.902587890625,203.3002166748047,1192.573974609375,203.30013232697104,1192.6002893342963,362.1722858837018,1357.5360570644723,366.3116808592654,1867.0481424032264,1.306774884111519,0.00022969750089514674,329.62771892297303
70,362.0608215332031,1357.68017578125,366.5842590332031,1866.902587890625,203.24099731445312,1192.5,203.251875617134,1192.6042751840669,362.1126054354304,1358.080406006819,366.2152643929105,1866.7569424783424,3.12529738575563,0.0007997727339171057,329.6798072127356
71,362.125,1357.8125,365.89794921875,1867.30615234375,203.24099731445312,1192.5,203.19042183544133,1192.6335923676493,362.0517568169319,1358.8009390043708,366.0990427397144,1866.31197243418,4.851409447330752,0.0014871587927478079,329.7606640368578
72,361.70123291015625,1357.8172607421875,365.7229309082031,1867.61474609375,203.05357360839844,1192.829345703125,203.1132566316577,1192.6884026582927,361.9928545328186,1359.4819324442792,365.9850137472837,1865.9070780033776,5.558528082868861,0.001543314633563584,329.8533061715723
73,362.0671691894531,1357.985107421875,365.919677734375,1867.6907958984375,202.9151153564453,1192.68115234375,203.018164749544,1192.7609057641207,361.9380951685026,1359.7605245572388,365.8947238486509,1865.8757514056697,4.0665412329974515,0.0007596284435081381,329.9210818587889
74,362.0671691894531,1357.985107421875,365.8489685058594,1867.953125,203.05357360839844,1192.829345703125,202.9034845245143,1192.8388991550623,361.88918528648736,1359.1985274047197,365.837282509603,1866.6303680693811,-0.686528254195764,0.001665545013775319,329.909639721219
75,361.8619689941406,1357.984375,365.7652587890625,1868.0938720703125,202.74444580078125,1192.95556640625,202.769739930572,1192.9105682371503,361.84998895100506,1357.453166587471,365.8036901457582,1868.5019372882164,-9.009788415539788,0.010281096116806323,329.75947658096
76,361.7913513183594,1357.910888671875,365.5454406738281,1868.2322998046875,202.6825408935547,1193.1224365234375,202.62186497826943,1192.9694024672374,361.8276453690665,1354.5401340775234,365.7665153231701,1871.4831670516296,-19.614594755870485,0.030299128604681654,329.43256666836214
77,361.70123291015625,1357.8172607421875,365.5454406738281,1868.2322998046875,202.5525054931641,1193.0296630859375,202.46999766573936,1193.0180177281145,361.82938804295713,1351.128404918767,365.6833448291395,1874.933176431531,-28.745014231861887,0.05043207017059624,328.9534830978311
78,361.70123291015625,1357.8172607421875,365.5454406738281,1868.2322998046875,202.25689697265625,1193.1846923828125,202.3274474294308,1193.06856564968,361.857101211132,1348.7410654953978,365.5058931857489,1877.3690783685804,-29.815088909888345,0.04425918510061166,328.45656494933297
79,362.03424072265625,1357.9246826171875,365.5454406738281,1868.2322998046875,202.03968811035156,1192.9603271484375,202.2059802318425,1193.1380923442764,361.9043200284841,1349.6862648564895,365.1966256468819,1876.52232660832,-14.701319640508927,0.02229925644659469,328.2115429553245
80,362.03424072265625,1357.9246826171875,365.5454406738281,1868.2322998046875,202.03968811035156,1192.9603271484375,202.1105956761376,1193.240150210921,361.9583378029104,1356.548958952024,364.748687943654,1869.8331370914827,22.03904770980671,0.1248764487199524,328.5788604171546
81,362.03424072265625,1357.9246826171875,363.9166564941406,1868.488037109375,202.1463928222656,1193.5,202.03741699087837,1193.377306724758,362.0056227826828,1371.1870623974528,364.19749410122574,1855.4439054360212,76.97372283455366,0.570096626230541,329.8617557977305
82,362.03424072265625,1357.9246826171875,363.28570556640625,1869.2261962890625,202.0196075439453,1193.605712890625,201.97651721547768,1193.5395195235378,362.03633676496855,1393.4334693853193,363.61294615356366,1833.4942344321153,135.0760296985561,1.2898428762196952,332.1130229593731
83,362.03424072265625,1357.9246826171875,362.8811645507813,1869.153564453125,202.0794677734375,1193.573974609375,201.91733173032935,1193.7089266349103,362.04554855727446,1420.1062846971531,363.0741241265262,1807.1168488774344,176.06269248031708,1.7079333357257485,335.0474011673784
84,362.03424072265625,1358.221435546875,362.5564880371094,1869.307861328125,201.6565093994141,1194.0955810546875,201.85233996911887,1193.8673224601423,362.0318143983962,1445.406366993115,362.641251023283,1782.0527444572017,186.06712364597,1.3319392996078419,338.1485198948112
85,361.8530578613281,1869.383544921875,361.9304504394531,1358.069580078125,201.6565093994141,1194.0955810546875,201.77716874203375,1194.0027563603874,361.9949632753378,1463.6007611919968,362.33876482626147,1763.982912954359,164.6759703856776,0.5365422012768299,340.8931194012392
