Frame #,Right_Knee (X),Right_Knee (Y),Right_Knee (Z),Left_Knee (X),Left_Knee (Y),Left_Knee (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Left_Hip (X),Left_Hip (Y),Left_Hip (Z),Nose (X),Nose (Y),Nose (Z),Left_Hip (X)_smoothed,Left_Hip (Y)_smoothed,Left_Knee (X)_smoothed,Left_Knee (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,Left_Hip (X)_smoothed_smoothed,Left_Hip (Y)_smoothed_smoothed,Left_Knee (X)_smoothed_smoothed,Left_Knee (Y)_smoothed_smoothed,Nose (X)_smoothed_smoothed,Nose (Y)_smoothed_smoothed,angles,velocity,roughness
31,0.5699335336685181,-0.6787341237068176,0.1043480187654495,0.4761647582054138,-0.6778475046157837,-0.0186024904251098,0.5731490254402161,-0.5684319734573364,0.0110099157318472,0.4783782958984375,-0.570400595664978,-0.0115146245807409,0.5184710621833801,-0.3889989554882049,0.1993095874786377,0.4783440954482335,-0.5703907107640105,0.4762131263127755,-0.6778346168939778,0.5184494464935784,-0.3890177526041757,0.4784421026070041,-0.5703894797119997,0.4763224458592793,-0.6777719582105013,0.5184551411554934,-0.3889824430263766,191.25025218676703,2.3002988109357148,0.0007025651351219613
32,0.5698802471160889,-0.6787360310554504,0.1032802239060401,0.4761306345462799,-0.6778660416603088,-0.0213855002075433,0.5731154084205627,-0.5684384107589722,0.0118231875821948,0.478289783000946,-0.5704044699668884,-0.0123351886868476,0.5184776186943054,-0.3889982402324676,0.1972515136003494,0.4783036062789502,-0.5703759899837042,0.4761559801276815,-0.6778656945732718,0.5184660539801786,-0.3890743146160261,0.4783867021317659,-0.5703840838059199,0.4762558587209058,-0.6778094529970677,0.5184595060827077,-0.389019180695919,191.2793712151057,1.747141700320185,0.0005878083884436096
33,0.5698727369308472,-0.6787378787994385,0.0991683825850486,0.4761168956756592,-0.6778754591941833,-0.0270101893693208,0.5731046795845032,-0.5684005618095398,0.0132211158052086,0.4782810807228088,-0.5703811645507812,-0.0137485200539231,0.5184847712516785,-0.3890614211559295,0.1961851567029953,0.4782697028869764,-0.5703532442574504,0.4761176326620545,-0.6778836448366393,0.5185153431582952,-0.3891375476067358,0.4783398999614963,-0.5703717428112133,0.4762005668033761,-0.6778391298814018,0.518481831779147,-0.3890665194721043,191.30513034817776,1.5455479843234343,0.0003459580117488361
34,0.5698651671409607,-0.6787400841712952,0.0974136739969253,0.4761098325252533,-0.6778786778450012,-0.0320844464004039,0.5731242895126343,-0.5683059692382812,0.0147122060880064,0.4782383739948272,-0.570292055606842,-0.015254532918334,0.5185200572013855,-0.389249324798584,0.2056435346603393,0.4782416789139469,-0.5703256163896526,0.4760954472400349,-0.6778909005288432,0.5185957154188434,-0.3891938614353523,0.4783006095116499,-0.5703532857788135,0.4761585175713163,-0.6778598381943176,0.5185273739236428,-0.3891174522526726,191.33224093638253,1.6266352922866645,0.0001285186524447167
35,0.5698766112327576,-0.6787523031234741,0.0964435115456581,0.4760997593402862,-0.6778820157051086,-0.0323971584439277,0.5731220245361328,-0.568286120891571,0.0147252613678574,0.4782312512397766,-0.5702828168869019,-0.0152697125449776,0.5186446309089661,-0.3892975449562073,0.2169366329908371,0.4782194500645097,-0.5702973021494036,0.4760840150178651,-0.6778909311843264,0.5186947156256378,-0.3892283468708031,0.4782681445424315,-0.5703308870682791,0.4761287156061088,-0.6778722753767302,0.5185943014438872,-0.3891618094512562,191.3629900222444,1.8449451517113855,2.4241686618184246e-05
36,0.5698778629302979,-0.6787567734718323,0.0966356694698333,0.4760914444923401,-0.6778914332389832,-0.0329865030944347,0.5730963349342346,-0.5682371258735657,0.0148499328643083,0.4781897664070129,-0.5702549815177917,-0.0153990145772695,0.5187994837760925,-0.3892874717712402,0.2179957330226898,0.4782028943270231,-0.5702719090101948,0.4760774089814168,-0.6778871318579659,0.518788446088433,-0.3892303981211288,0.4782420440759692,-0.5703072927962968,0.476108192543642,-0.677878217922793,0.5186719540191636,-0.3891892462935086,191.39662897975492,2.018337450631975,9.571844868084019e-06
37,0.5699107646942139,-0.6787667870521545,0.0957617461681366,0.4760853052139282,-0.6778852939605713,-0.0333899706602096,0.5730909109115601,-0.5682355165481567,0.0151908099651336,0.4781747460365295,-0.5702537894248962,-0.0157413184642791,0.5188058018684387,-0.3892418146133423,0.2129419595003128,0.4781910300532198,-0.5702512714066585,0.4760709544035479,-0.6778822498699428,0.5188440446265951,-0.3891982574144625,0.4782216386409075,-0.5702848832977636,0.4760932972867219,-0.6778798306510064,0.518740788655356,-0.3891928528144721,191.42954368151473,1.9748821055884491,1.2156582907739948e-05
38,0.5699737668037415,-0.6788095831871033,0.0958027094602584,0.4760652184486389,-0.6778709292411804,-0.0325920097529888,0.5730869174003601,-0.5682124495506287,0.0151086449623107,0.4781663715839386,-0.5702317953109741,-0.015661446377635,0.5188102126121521,-0.3891544640064239,0.2116662859916687,0.4781812747961482,-0.5702352536656052,0.4760620571418867,-0.6778782056279088,0.5188249714533965,-0.3891402475439816,0.478205493528179,-0.5702650319298386,0.4760808014528441,-0.6778791806037718,0.5187744626480724,-0.3891718125480841,191.4561221037301,1.5947053329227856,1.0539451745992902e-05
39,0.5700021982192993,-0.678850531578064,0.1000614017248153,0.4760369658470154,-0.677873969078064,-0.0289887450635433,0.5730764865875244,-0.5682106018066406,0.0152420839294791,0.4781577289104461,-0.5702283978462219,-0.0157984588295221,0.5187216401100159,-0.3890329301357269,0.2113651782274246,0.4781692209010202,-0.5702223839504453,0.4760500628480128,-0.677876065616438,0.5186982420848197,-0.3890723151041051,0.4781909849140273,-0.5702479738589455,0.4760685062915792,-0.6778779345889632,0.5187439763919545,-0.3891320147426474,191.4700676865086,0.8367349667094004,6.55281330251e-05
40,0.570019543170929,-0.6788904070854187,0.1000129133462905,0.4760298132896423,-0.6778734922409058,-0.0289326012134552,0.573066771030426,-0.5682095885276794,0.0152340233325958,0.4781511127948761,-0.5702281594276428,-0.0157899186015129,0.5185559988021851,-0.3889816403388977,0.2015054672956466,0.4781492886278615,-0.5702108677119971,0.4760354459370847,-0.6778760914434825,0.5184427701135238,-0.3890130516120791,0.4781743067136483,-0.570233132537183,0.4760552823784881,-0.6778771973266517,0.5186234958663883,-0.3890844299511014,191.46583862051523,-0.253743959602275,0.00025454175668605697
