Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Body Pink X_smoothed,Body Pink Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,angles,velocity,roughness
1734.0,282.5920105,1691.682495,338.7164001,1242.955811,162.5909119,1283.236328,169.5240326,1042.299194,169.07399459767203,1042.0961868775107,279.65530338073125,1688.8716059548626,343.72363270752663,1249.809206106214,26.270875795944487,163.38979214363968,3.228263096381008
1735.0,262.1618652,1696.019165,338.7164001,1242.955811,154.5,1284.394775,166.8005829,1042.557495,166.80084889791812,1042.670846946438,258.95458861188905,1692.7726534643991,343.56932940269866,1245.8381665205436,28.945428898467185,160.47318615136186,1.1383466712395964
1736.0,242.8794708,1699.947266,338.7164001,1242.955811,146.5907745,1285.357178,164.5,1043.017578,164.62573459132247,1043.113450960767,240.50421277311935,1697.1291543277032,342.0883053192894,1242.8266012270492,31.36967868586164,145.4549872436673,0.208507832899793
1737.0,225.1717377,1702.822754,338.7164001,1242.955811,139.5,1286.0,162.4776764,1043.666626,162.57139194143758,1043.4406381716658,223.58344705046056,1701.2992586796402,340.3127166428998,1241.2704771623223,33.47766213867325,126.47900716869678,0.060677228262975114
1738.0,208.3472595,1705.889526,338.7164001,1242.955811,132.6782074,1285.91626,160.3935394,1043.594727,160.66218685139953,1043.6707950455786,207.69810103056983,1704.806387182029,338.88218535656335,1241.0110364673542,35.29304313956403,108.92286005344644,0.14862091137380432
1739.0,192.2419586,1707.19104,338.6082458,1243.592773,126.4730682,1286.177612,158.4911499,1043.814209,158.91459985235392,1043.8248473030787,192.6564960506492,1707.4395312291713,338.02302085474014,1241.578578710643,36.878569861925534,95.13160334169044,0.19467101336964854
1740.0,177.8436432,1708.437622,338.6082458,1243.592773,121.0491791,1286.353882,158.4911499,1043.814209,157.33798644066266,1043.9255359540446,178.53231717569062,1709.2252956643906,337.66235814931713,1242.4728509644033,38.29580989452994,85.03440195626425,0.16318219761619587
1741.0,165.7977753,1709.743286,338.6082458,1243.592773,116.5,1286.0,155.706543,1044.078125,155.9438134637952,1043.996182334772,165.5755285473905,1710.3344880819905,337.58567834290665,1243.3266329771534,39.58289582973795,77.2251561124807,0.10671743680160262
1742.0,153.7479095,1710.189575,338.5,1243.5,113.0,1286.0,154.473938,1044.271729,154.75206093629794,1044.0607015418095,154.11860049847564,1710.9803734806967,337.57371621897397,1243.954434286082,40.74984865615777,70.01716958518941,0.06487555761098832
1743.0,143.5743256,1711.325439,337.5,1244.146362,110.3108292,1286.14209,153.4495392,1044.104004,153.78651469863354,1044.1438053464572,144.49959136035912,1711.3464544392064,337.48522188398124,1244.3222895548658,41.78561788367454,62.14615365100599,0.04573648304093333
