Frame #,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Neck Green X,Neck Green Y,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Back Orange X_smoothed,Back Orange Y_smoothed,Neck Green X_smoothed,Neck Green Y_smoothed,Leg Pink X_smoothed,Leg Pink Y_smoothed,angles,velocity,roughness
59.0,430.5,765.5,547.5,934.8444214,549.3624878,738.1749878,395.5,904.0,466.0,1313.5,547.4998864589895,934.8444939344472,549.4792260595514,738.1499781034266,465.98181507887176,1313.4563335715293,168.4141636543439,0.4660445263675683,0.00011381600352889953
60.0,430.5,765.5,547.5,934.8444214,549.3624878,738.1749878,395.5,904.0,466.0,1313.5,547.4998204228048,934.8445602011192,549.6162109602263,738.1142699653857,465.9797993166755,1313.46969943148,168.4347991957163,1.2381324823439854,0.00024017786430190647
61.0,430.5,765.5,547.5,934.8444214,550.0584717,738.0350952,395.5,904.0,466.0,1313.5,547.4997958087962,934.844608649416,549.7759270382356,738.0697084799194,465.99377605622726,1313.4867072072525,168.46674841783445,1.916953327089459,0.00032805362381752034
62.0,430.5,765.5,547.5,934.8444214,550.0584717,738.0350952,395.5,904.0,466.0,1313.5,547.4998609181597,934.844596949218,549.9298739188295,738.0235504416622,466.0335224847385,1313.5003045828907,168.50623648694526,2.3692841466481696,0.0003123956958219081
63.0,430.5,765.5,547.5,934.8444214,550.0734253,737.9293823,395.5,904.0,466.0,1313.5,547.500055537856,934.8444804394732,550.0531216804707,737.9831613117706,466.1028425841628,1313.507834660031,168.54828882650986,2.5231403738763447,0.00020197924014876445
64.0,430.5,765.5,547.5,934.8444214,550.0734253,737.9293823,395.5,904.0,466.0,1313.5,547.5003822934018,934.844234473625,550.1297131773753,737.9533692205429,466.1963459806782,1313.5097328478662,168.58776867527544,2.3687909259348316,7.630075666710289e-05
65.0,430.5,765.5,547.5,934.8444214,550.0614014,737.9268799,395.5,904.0,466.5,1313.5,547.5007743135312,934.8438843570104,550.1521275117498,737.9348280177577,466.2997075420151,1313.5079473455912,168.6199310317841,1.929741390518984,2.1693987121929793e-05
66.0,430.5,765.5,547.5,934.8444214,550.0614014,737.9268799,395.625,904.46875,466.5,1313.5,547.5010735715985,934.8435331214062,550.1180003134947,737.9240912950967,466.3947988512539,1313.5046532458389,168.6406549788742,1.243436825407116,7.539152203952472e-05
67.0,430.5,765.5,547.5,934.8444214,550.0614014,737.9268799,395.625,904.46875,466.5,1313.5,547.5010404521933,934.843370415493,550.0285321800782,737.9152662640859,466.4671683740437,1313.50149536088,168.64682234581076,0.3700420161931106,0.00021902913823329683
68.0,430.5,765.5,547.5,934.8444214,550.0614014,737.9268799,395.625,904.46875,466.5,1313.5,547.5004152989907,934.843642065704,549.8902966276131,737.9024842328937,466.51096338895707,1313.499337442885,168.6370326426957,-0.5873821869045059,0.000395334834375823
