Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Body Pink X_smoothed,Body Pink Y_smoothed,angles,velocity,roughness
41.0,716.5654297,1244.122314,521.5,1441.241699,597.0238037,1210.751953,652.5623779,991.6915894,652.5974956930658,991.7201191349344,716.4124666151525,1244.1014270308258,521.8534212747941,1441.3133727537845,329.6963283781734,-4.037593948127096,6.642984212246842e-05
42.0,716.3223267,1244.201416,520.8641968,1441.308594,596.7355957,1210.629395,652.6500854,991.3995972,652.5283247955471,991.6978974370317,716.2806353402176,1244.0636368863547,521.2354110748597,1441.18635091054,329.6337399035394,-3.75530847804157,1.2699803614241393e-05
43.0,715.9351807,1243.963013,520.7886353,1440.788574,596.4075928,1210.58667,652.5482178,991.5300903,652.4808865988388,991.7325278527856,716.1205861754158,1244.034630623133,520.6433708723216,1441.0028697717444,329.5758489948209,-3.473454523109467,2.630747072342568e-05
44.0,715.9385986,1243.964966,520.2113647,1440.788574,595.7938232,1210.38916,652.4797363,991.7680054,652.452862077875,991.8231950309352,715.9492802747988,1244.0385615413531,520.069882211097,1440.7929375472472,329.5217165694071,-3.2479455248278555,4.329851492916498e-05
45.0,715.6610718,1244.140015,519.5,1440.5,595.5720215,1210.276123,652.4202881,991.9492798,652.4468330481013,991.9452380383696,715.779667808298,1244.0941122102745,519.5011993554828,1440.5786896597986,329.47069847529445,-3.0610856467581016,4.235659226032581e-05
46.0,715.6610718,1244.140015,519.0,1440.5,595.4303589,1210.405029,652.3471069,992.1287231,652.4657364845101,992.059846096486,715.6171209705593,1244.2078377069197,518.9268319810324,1440.3710481919686,329.42323033083136,-2.84808866778576,3.463898092363281e-05
47.0,715.5094604,1243.858521,518.5,1440.0,595.079895,1210.506836,652.4466553,992.2489014,652.5070568045759,992.13006831075,715.4606419584975,1244.3697777941145,518.3455939208237,1440.1701663682138,329.3805984210281,-2.5579145881965815,3.4776289739847214e-05
48.0,715.4185791,1244.87207,517.8863525,1440.04541,594.5924072,1210.230469,652.6004028,992.2884521,652.5590214499167,992.1372500377717,715.3070587521463,1244.5540637028212,517.7660711099476,1439.9680052815738,329.34378262957534,-2.2089474871643233,4.7078201236503554e-05
49.0,715.1729736,1245.059082,516.6763306,1439.772949,594.3851318,1210.298828,652.6212158,992.350647,652.6005374040537,992.092936691384,715.1549031345061,1244.7273028935338,517.2012621953488,1439.7519800808222,329.3119889993341,-1.9076178144734968,6.0664273398602505e-05
50.0,714.9767456,1244.87207,516.5,1439.5,593.7562866,1210.010742,652.4066772,992.2600098,652.6041547707613,992.0420570711536,715.0051514677091,1244.8619879860944,516.6599072169403,1439.5093922462372,329.2816571867297,-1.8199087562641123,5.240974896914334e-05
51.0,714.80896,1244.890259,516.5,1439.5,593.5172119,1210.132202,652.5510864,992.1688843,652.5410087298601,992.0537370685636,714.8582482069884,1244.946008933652,516.1417176781235,1439.2316062987425,329.2466703115902,-2.099212508370556,2.3282341672750106e-05
52.0,714.5,1244.944458,516.0,1438.5,593.1296387,1209.938843,652.4255371,991.9196167,652.3884812484974,992.198127687252,714.7094352114374,1244.982694372669,515.6415319876687,1438.9161770906735,329.20019814155535,-2.788330202091629,4.028703327105712e-05
53.0,714.5,1244.944458,514.7211914,1438.721191,592.7974854,1209.68103,652.4255371,991.9196167,652.141149951321,992.5129800727848,714.5459884939045,1244.984417175221,515.1571267298194,1438.5665008045455,329.1378443734668,-3.741226085312519,0.00018011928214883795
54.0,714.5,1244.944458,514.7211914,1438.278809,592.9121094,1209.684937,652.4255371,991.9196167,651.8214179691408,992.9720097209575,714.3497018435063,1244.9655993438453,514.6916992118491,1438.1912267626485,329.060831332979,-4.620782429269639,0.0003766822504681234
55.0,714.19104,1244.890259,514.5,1438.0,593.0266724,1209.417114,651.0,994.0,651.4817460155518,993.4732236899132,714.1049977610758,1244.9380499358538,514.250529458662,1437.805189928522,328.97755848098893,-4.996371119402738,0.00041047703292699394
56.0,714.0232544,1244.87207,513.5,1437.5,592.7020264,1208.983276,651.0,994.0,651.192664101726,993.8597488273384,713.8086859019076,1244.9090540478187,513.8373480879278,1437.4291602021594,328.9023634610805,-4.511701194506941,0.00021447020594283318
57.0,713.5,1245.0,513.5,1436.5,592.711731,1208.807251,651.0,994.0,651.0211612726738,993.967404016081,713.475470417715,1244.8819659003043,513.4526748804352,1437.0841715453653,328.85159152502564,-3.046316163290612,0.00017003364267662743
58.0,712.9767456,1244.87207,513.3086548,1436.864258,592.7355957,1208.629395,651.0,994.0,651.0112615398128,993.6798850333794,713.1355773183298,1244.8584302592838,513.0937891095435,1436.781895329147,328.83846352879914,-0.7876797735900709,0.0008360057619157134
59.0,712.7172852,1244.801636,512.5,1436.5,592.9321289,1208.607056,651.0,994.0,651.1736943908579,992.9754383634572,712.8256225224826,1244.840379990916,512.7564899508086,1436.518859200309,328.8686185539884,1.809301511357262,0.0022147419339951704
60.0,712.7172852,1244.801636,512.5,1436.5,592.9321289,1208.607056,651.0,994.0,651.4841488818008,991.9525189882758,712.5777352290753,1244.830337481646,512.4378467153044,1436.2801054778106,328.9376416452033,4.141385472893262,0.0034398166759775674
61.0,712.19104,1244.890259,512.2113647,1436.211426,592.8110352,1208.520142,652.5579834,988.7246094,651.8897909201509,990.8156509488122,712.4115565082458,1244.8304451840988,512.1391486950545,1436.0490819778831,329.03154719956956,5.634333261974689,0.0034760529808836056
62.0,712.2827148,1244.801636,512.1358032,1435.691406,592.8666382,1208.539795,652.5579834,988.7246094,652.3239955380981,989.8110341216218,712.3303149813456,1244.841508606414,511.8692410206118,1435.8156827875318,329.13073801526866,5.9514489419461825,0.0022295938517084934
63.0,712.2827148,1244.801636,511.5,1435.5,593.2607422,1208.199585,652.5579834,988.7246094,652.7223908244882,989.1386491412636,712.3208961934606,1244.8624607510994,511.6463679298736,1435.5776563018094,329.2161414728441,5.124207454524594,0.0007740521017859438
64.0,712.5,1244.944458,511.5,1435.5,593.2111206,1208.111084,652.5579834,988.7246094,653.0305486506326,988.8921191846902,712.3585334453724,1244.890252394761,511.49510028016977,1435.3368976482675,329.27443926413207,3.4978674772798968,0.0002938878648348697
65.0,712.5,1244.944458,511.3086548,1434.864258,593.3884888,1207.88501,653.3030396,989.6969604,653.2041194132509,989.05311823275,712.4152286108784,1244.9205359326097,511.43827964750005,1435.094760471572,329.3000584590764,1.5371516966604304,0.0009341519621974535
66.0,712.5,1244.944458,511.3086548,1434.864258,593.578064,1207.876465,653.3030396,989.6969604,653.2120935963628,989.5252612560732,712.4681714532258,1244.9489755711022,511.48815903276625,1434.8487151344934,329.29414727279664,-0.3546711767864963,0.0018576816337510938
67.0,712.5,1244.944458,511.5,1434.5,593.9749756,1208.072876,653.3030396,989.6969604,653.0489610367732,990.1773642083434,712.5043834043333,1244.9722088794158,511.64176676978775,1434.591291650397,329.2624195598682,-1.9036627757066071,0.002230577559442567
68.0,712.5,1245.0,512.2113647,1434.211426,594.3024292,1208.253906,653.0,992.5757446,652.7500753861407,990.8770726239004,712.5206885627614,1244.9880265480765,511.88373782404966,1434.3127522751718,329.21356767706266,-2.9311129683321724,0.001870436769565001
69.0,712.5,1245.0,512.5,1434.5,594.6204834,1208.355469,653.3030396,989.6969604,652.3993497873428,991.5093745673752,712.5207334235313,1244.9953248834352,512.1956259696567,1434.0081545163837,329.1588042011528,-3.2858085545910853,0.0011022960574577547
70.0,712.5,1245.0,512.5,1434.0,594.6204834,1208.355469,651.5866699,992.4639893,652.1190608262095,991.9812861883188,712.5113078774566,1244.9943074018015,512.5647745669637,1433.685669763811,329.1118685802035,-2.816137256957063,0.0003867502625337269
71.0,712.5,1245.0,512.5,1433.0,595.208313,1208.182007,651.3693848,992.6918945,652.0371220771877,992.2210984268584,712.499351010476,1244.9867599128645,512.9850549991218,1433.3685926806356,329.0880556025412,-1.4287786597390095,0.00016686190608764334
72.0,712.5,1245.0,513.5,1432.5,595.4675293,1207.597412,652.6832275,990.5279541,652.2403685763196,992.1835885618166,712.4899867043838,1244.9759832762536,513.4503809768897,1433.0859341817418,329.1012913186719,0.7941429678407985,0.0007845693314260969
73.0,712.402771,1244.875,514.3236694,1433.227051,595.5499878,1207.679199,650.0,995.0,652.7342329692651,991.8641233106198,712.4853575470107,1244.9661618152936,513.9500000072654,1432.857966919232,329.15992725158304,3.5181559746695257,0.0022017366183742075
74.0,712.5,1245.0,514.2788086,1432.721191,595.973999,1207.110352,655.0,990.0,653.4304989400002,991.312586826564,712.4842015166283,1244.9614469192263,514.4705204483199,1432.6892423114073,329.26328581542765,6.201513830676504,0.0037207696011548022
75.0,712.5,1245.0,515.0,1432.5,596.4450684,1207.021973,655.0,990.0,654.1753220151869,990.6313478896816,712.4826114577254,1244.965492293647,515.0001897039218,1432.5724497341548,329.4010342214892,8.26490436369454,0.004278669296872466
76.0,712.5,1245.0,515.5,1432.5,597.4436646,1207.028198,655.0,990.0,654.8053674383403,989.952327859062,712.4761404100858,1244.9816648275016,515.5304244980277,1432.4961071190337,329.5559209149009,9.293201604701837,0.003370317649124
77.0,712.5,1245.0,516.2788086,1432.721191,597.774292,1207.232056,655.0,990.0,655.197233146847,989.4108582350852,712.4624017480163,1245.013048891927,516.0554332354365,1432.4504884803885,329.70813674553915,9.132949838293598,0.0016507652979595013
78.0,712.5,1245.0,516.2113647,1432.211426,597.5217285,1207.123169,655.0,990.0,655.2868407457626,989.1313491489065,712.4427986667948,1245.061414205389,516.5719142595188,1432.431054792224,329.8389837768293,7.850821877409544,0.0004286389217400438
79.0,712.3621216,1245.168701,517.5,1432.5,598.5,1207.0,655.0,988.5,655.0674126113139,989.2128640148007,712.4223743400082,1245.1255914002095,517.0784941806005,1432.439113162285,329.9333142624493,5.659829137199495,0.0005914331041253943
80.0,712.3621216,1245.168701,517.5,1432.5,599.3987427,1207.5,655.0,988.5,654.586037844618,989.6970997000406,712.4076841703816,1245.2003589297467,517.574148460219,1432.479933625726,329.981847597071,2.9120000773025367,0.002016345531551825
81.0,712.3621216,1245.168701,517.5,1432.5,599.4487305,1207.532104,655.0,988.5,653.9451513182927,990.529353815126,712.4039036754857,1245.2764249017785,518.055116461152,1432.5601688752952,329.9839408198621,0.1255933674644893,0.003727125888550045
82.0,712.4185791,1245.37207,518.6913452,1432.864258,599.5,1207.5,652.7111206,993.5999756,653.2977619315968,991.5497647746232,712.4131439725045,1245.3418326338465,518.5117360315415,1432.6856623046751,329.9494893665736,-2.067087197310684,0.004478934340890119
83.0,712.5,1245.5,519.3086548,1432.864258,599.5499878,1207.679199,652.6759033,993.111084,652.8220814417325,992.5391507368224,712.4350775853794,1245.3853522408397,518.9299502990426,1432.858735817052,329.8978247222129,-3.099878661641924,0.0036054483520852267
84.0,712.5,1245.5,519.3086548,1432.864258,599.6688843,1208.170044,652.2244873,993.2789307,652.6767544871478,993.297543560888,712.4691191715413,1245.4012747373658,519.2987800048292,1433.073422908765,329.8529562664534,-2.692107345567365,0.0017344252699768063
85.0,712.5,1245.5,519.6913452,1432.864258,599.9876709,1208.139893,652.8198242,995.0270386,652.9543642552687,993.7080675929458,712.5162636001189,1245.3927218869387,519.6165524924475,1433.3092503055077,329.83672412356873,-0.9739285730813664,0.0004812539912137094
86.0,712.6378784,1245.168701,519.5,1433.5,600.1220093,1208.224365,653.0402832,993.234436,653.6504485306605,993.758541568788,712.5791495114436,1245.3702593518592,519.88880990556,1433.529006172399,329.8623698397217,1.5387429691770649,0.0009586502525033028
