Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Elbow (X)_smoothed,Right_Elbow (Y)_smoothed,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
45,0.2659584879875183,-0.5285853743553162,-0.4678249955177307,0.4360904693603515,-0.6332672238349915,-0.4305699169635772,0.7071473002433777,-0.6530829071998596,-0.2733808755874634,0.4337227549010358,-0.6330433687321531,0.2657079971627045,-0.5284086243203981,0.6937126947582807,-0.6521717849192461,152.019762608015,10.986302875035108,0.09604864367231862
46,0.2649881243705749,-0.5287320613861084,-0.476771593093872,0.4358810782432556,-0.6332363486289978,-0.4452187418937683,0.7077571749687195,-0.653904139995575,-0.2977347671985626,0.4347095851768812,-0.6330671545939108,0.2649168114037795,-0.5286561686518418,0.7056563512269147,-0.6534256183599164,152.29519629174874,16.526021024025113,0.07383250652699487
47,0.2634833753108978,-0.5288679003715515,-0.5005691051483154,0.4345417022705078,-0.632977306842804,-0.4588178396224975,0.7039586901664734,-0.6543010473251343,-0.2812441289424896,0.4350975635042691,-0.6330354360211035,0.26399306578965,-0.5288554637437644,0.711850591727125,-0.6543565380361342,152.60491673255297,18.58322644825364,0.039790910455631025
48,0.2627737522125244,-0.5290799736976624,-0.5167081952095032,0.4340982437133789,-0.6329820156097412,-0.4669937789440155,0.7032747268676758,-0.6546924114227295,-0.28926482796669,0.4349232548746739,-0.6329532290325484,0.26302893887046,-0.5289841670107741,0.7134348444552248,-0.6549815745518324,152.90492475913297,18.000481594800135,0.013856125479577267
49,0.2623810172080993,-0.5291131138801575,-0.5119591951370239,0.4335145950317383,-0.632817268371582,-0.467008113861084,0.7048472166061401,-0.6551050543785095,-0.3189546167850494,0.4343044932785718,-0.6328422337311653,0.2621075507198019,-0.5290409841788568,0.7116788031235225,-0.6553840701865299,153.1686907800458,15.825961254770393,0.00250818853786547
50,0.2615669369697571,-0.5291399359703064,-0.5096612572669983,0.4333193004131317,-0.63274747133255,-0.4710051119327545,0.7065091729164124,-0.6552321314811707,-0.340052992105484,0.4333723951227887,-0.6327330648887951,0.2612944723725373,-0.5290456728404147,0.7074745238279264,-0.6556634162995514,153.38541435049692,13.003414227066514,0.001333991257004875
51,0.2604529857635498,-0.5290059447288513,-0.5052481293678284,0.4321528673171997,-0.6325445175170898,-0.4705224633216858,0.7040660977363586,-0.6557031273841858,-0.3408204317092895,0.4322359566393186,-0.632656844250312,0.260636904655259,-0.5290339223741822,0.7013004171605484,-0.6558963215664462,153.5552862662092,10.19231494273754,0.0034410765605669275
52,0.2598236203193664,-0.5288990139961243,-0.4951526820659637,0.4316954314708709,-0.6324797868728638,-0.4653354585170746,0.7028887867927551,-0.655909538269043,-0.3107843995094299,0.4309830333133596,-0.6326378082778227,0.260161326811841,-0.5290473766419863,0.6935651255857697,-0.6561188013141005,153.68371320949936,7.705616597409062,0.00478400389148048
53,0.2597990334033966,-0.5289425849914551,-0.480599969625473,0.4298419058322906,-0.6326305866241455,-0.4383095204830169,0.7019193172454834,-0.656628429889679,-0.2589756548404693,0.4296992584150293,-0.632689049676799,0.2598680193285845,-0.5291212256723381,0.685041214174259,-0.6563298839644361,153.77568659771276,5.518403292804237,0.004676358880491297
54,0.2598075270652771,-0.5291606187820435,-0.4738257825374603,0.4285292029380798,-0.633039116859436,-0.4173504412174225,0.6705016493797302,-0.6569921374320984,-0.2124163061380386,0.4284827658801283,-0.6328137271075178,0.2597298317459454,-0.5292741834857938,0.6770349639861346,-0.6565108057491919,153.83127413767667,3.3352523978345516,0.004016197769126701
55,0.2598008513450622,-0.5295961499214172,-0.4716864824295044,0.4274221062660217,-0.6332098841667175,-0.4091923236846924,0.6613457798957825,-0.6568658947944641,-0.1916405260562896,0.4274420967516463,-0.6330111106621884,0.2597004496132711,-0.5295055490361771,0.671062445039319,-0.6566469880387057,153.84462439307978,0.8010153241866647,0.00372562073171121
56,0.259830892086029,-0.5299751162528992,-0.464415043592453,0.4270010888576507,-0.6333610415458679,-0.4025745391845703,0.6596314311027527,-0.6567028164863586,-0.1870241463184356,0.4266777648795452,-0.633282093957062,0.2597290233158014,-0.5298003355368712,0.6681393600055825,-0.6567385548048823,153.80923814187238,-2.123175072443928,0.004143665891204139
57,0.2598350346088409,-0.5301339626312256,-0.4663485288619995,0.4255852103233337,-0.6334196925163269,-0.4041487574577331,0.6586621999740601,-0.6565013527870178,-0.1903148293495178,0.426254137519418,-0.6336278609061475,0.2597742238507219,-0.5301384779935073,0.6681003315667094,-0.6567926894300278,153.72748144013104,-4.9054021044804585,0.004820130377407725
58,0.2598989009857178,-0.530389666557312,-0.4680918455123901,0.4251044690608978,-0.6334859728813171,-0.4004683792591095,0.6584469079971313,-0.6562973856925964,-0.1817331314086914,0.4261693904168311,-0.6340412247937289,0.2598131206262258,-0.5305024284610984,0.669361682088627,-0.6568037662853602,153.61626699891102,-6.67286647320168,0.0046225698030410226
59,0.259903222322464,-0.531080961227417,-0.4695064425468445,0.4251263439655304,-0.634773313999176,-0.4029014408588409,0.6767063140869141,-0.6564626097679138,-0.1878648698329925,0.4263384623910558,-0.6344983493457668,0.2598436734735191,-0.5308806911080578,0.6693171484571763,-0.6567357487030486,153.50302566605717,-6.794479971230771,0.0029393534879386465
60,0.2599054872989654,-0.531281054019928,-0.4732674658298492,0.4285341799259186,-0.6348674297332764,-0.4108594954013824,0.6839452385902405,-0.6564022898674011,-0.2011034786701202,0.4266112227930661,-0.6349602749793994,0.2598812323208615,-0.5312684341200852,0.6653007032262521,-0.6565209677307723,153.41517498993755,-5.271040567176897,0.0009902449448410912
61,0.2598683536052704,-0.5316306352615356,-0.4706723392009735,0.4282726347446441,-0.635827362537384,-0.402621179819107,0.6691737771034241,-0.656150221824646,-0.1855858266353607,0.4268313697177583,-0.63538567761002,0.2599499812658951,-0.5316659120356554,0.6557664953550956,-0.6560815326220835,153.37064007540573,-2.672094871909394,0.0007759642018484973
62,0.2598861455917358,-0.5318381190299988,-0.470596045255661,0.426654189825058,-0.6356380581855774,-0.3981710374355316,0.6580472588539124,-0.6560370326042175,-0.1816908121109008,0.4269031689376457,-0.635746982205348,0.2600712840695341,-0.5320742957228861,0.6411205384201537,-0.6553690295212744,153.37277184218712,0.1279060068833359,0.0024335289910827613
63,0.2600780725479126,-0.5324827432632446,-0.4736286401748657,0.4263255298137665,-0.6362154483795166,-0.3989490866661072,0.6040039658546448,-0.6550318598747253,-0.1725902408361435,0.4268195390862508,-0.6360407408501667,0.2602526839182882,-0.5324907714969973,0.6237384503576123,-0.654409090562371,153.4080607081041,2.1173319550189262,0.0037761439886370234
64,0.2604959607124328,-0.5329883098602295,-0.484836608171463,0.4263093173503876,-0.6365566253662109,-0.4002247750759125,0.5972511172294617,-0.6548915505409241,-0.1541183590888977,0.4266403608873566,-0.6362883406371737,0.2604823591882854,-0.5329070961113285,0.6071514876235508,-0.653330941930497,153.4465040770607,2.3066021373955437,0.002947475751635627
65,0.260680079460144,-0.5334653854370117,-0.4845178127288818,0.4262970089912414,-0.6364434361457825,-0.3968563079833984,0.593723714351654,-0.6529901027679443,-0.1589176058769226,0.4264502942124107,-0.6365269316154647,0.2607321827809762,-0.5333133971839226,0.5948768385040534,-0.6523584251830135,153.44954276364217,0.1823211948885728,0.0011210261396661014
66,0.2613227367401123,-0.5338999629020691,-0.485047847032547,0.4267162084579468,-0.6364365220069885,-0.3978543281555176,0.5985043048858643,-0.6492649912834167,-0.164868488907814,0.4263266440825101,-0.6367914285518619,0.2609684170070265,-0.5337038280452407,0.5894692369469142,-0.6517451407426572,153.38848029304793,-3.663748235654225,0.001600486340539447
67,0.2613191902637481,-0.5339498519897461,-0.4855846166610718,0.4265270233154297,-0.6364262104034424,-0.3949169814586639,0.5827358961105347,-0.6492524743080139,-0.111401580274105,0.4263235141975158,-0.6370921276278123,0.2611648098853212,-0.5340782457168355,0.5919860522729776,-0.6516662769732489,153.26299196781767,-7.529299513815886,0.004949512802858499
68,0.2612436711788177,-0.5342051982879639,-0.505183219909668,0.4259286820888519,-0.6371577382087708,-0.4067704975605011,0.5847965478897095,-0.6513570547103882,-0.1187522634863853,0.4264615057724593,-0.6373996977987666,0.2613108635057357,-0.5344369305642895,0.6016993933826252,-0.6521245655455862,153.1025084065284,-9.629013677356966,0.007011400740372317
69,0.2612462937831878,-0.5344491600990295,-0.5229291915893555,0.4257476031780243,-0.6382656097412109,-0.4205583333969116,0.5859888195991516,-0.6547276377677917,-0.1192015632987022,0.426715180862787,-0.6376506365061391,0.2614107361217522,-0.5347717254361221,0.6160270035391601,-0.6529376196992224,152.94956179725207,-9.17679655657878,0.0048106228853107905
70,0.2614104747772217,-0.5352655649185181,-0.5216516256332397,0.4272691607475281,-0.6382426619529724,-0.4493236541748047,0.6680759191513062,-0.6549009084701538,-0.2176102995872497,0.4270062584768628,-0.6377743124608161,0.2614750320842433,-0.5350616934824357,0.6310079553560198,-0.653819192826301,152.8406858342166,-6.532557782128379,0.0015840517605938955
71,0.2615245878696441,-0.5354992151260376,-0.5183802247047424,0.4275439083576202,-0.6379690170288086,-0.4413025677204132,0.657767653465271,-0.6548977494239807,-0.2010080218315124,0.4272180262483356,-0.6377256126729773,0.2615123518144964,-0.5352789268090814,0.6425275069468728,-0.6544981686788557,152.79565721048942,-2.701717423630612,0.002122167335284789
72,0.2615375816822052,-0.5354942083358765,-0.4966955780982971,0.4275155663490295,-0.6374471187591553,-0.4349756240844726,0.655234158039093,-0.6548842787742615,-0.1933674663305282,0.4272327580363285,-0.6375025870492006,0.2615254295367532,-0.5354014492509976,0.6478313129093679,-0.6548069282734887,152.81571769612478,1.2036291381213005,0.005855189818780618
73,0.2615171074867248,-0.5354904532432556,-0.489993005990982,0.4273635745048523,-0.6368739604949951,-0.4325180649757385,0.6533412337303162,-0.6549021601676941,-0.1893213093280792,0.4269753393482666,-0.6371411184125262,0.2615116772683672,-0.5354241807948521,0.6464983870594537,-0.6547131039566612,152.88778841296354,4.324243010325972,0.008412473438267282
74,0.2614677846431732,-0.5353103876113892,-0.490112692117691,0.4269611537456512,-0.6364564299583435,-0.4307931661605835,0.6515782475471497,-0.6551660299301147,-0.181202545762062,0.4264437000377249,-0.6366946864361266,0.2614655648942894,-0.5353616246900021,0.6404410410266308,-0.6543073927145429,152.99103534816325,6.194816111982391,0.007448520533585272
75,0.2615135610103607,-0.535270094871521,-0.4855621457099914,0.4263720512390136,-0.6361119747161865,-0.4109469950199127,0.6153950691223145,-0.6533041596412659,-0.1326624453067779,0.4257148431423341,-0.6362136277143791,0.2613808799261362,-0.5352425833618872,0.6330566371726011,-0.6537638953594795,153.10285158666795,6.708974310282088,0.004260203183534838
76,0.261215478181839,-0.5350273251533508,-0.4863750338554382,0.4238483011722564,-0.6358403563499451,-0.4115929007530212,0.6023741364479065,-0.6519647240638733,-0.1350024342536926,0.4249216254220849,-0.6357341904774633,0.2612517012678757,-0.5351006787807991,0.6278945791558159,-0.6532801860162559,153.2037519572436,6.054022234539502,0.0014080081119211784
77,0.2608458995819092,-0.5347869396209717,-0.4865882694721222,0.4234331250190735,-0.6354297399520874,-0.4170381426811218,0.6239322423934937,-0.652489960193634,-0.1561811119318008,0.4242050141006577,-0.6352788840221777,0.2610713038344378,-0.5349642357289356,0.6273661758709748,-0.6530108362549518,153.28218680417362,4.706090815800508,0.00029280332239722964
