Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,angles,velocity,roughness
42,0.2917728424072265,-0.5146036148071289,-0.5056141018867493,0.2606401443481445,-0.6539141535758972,-0.5522900819778442,0.3332140743732452,-0.817533552646637,-0.4992185235023498,0.3176233470439911,-0.7428130507469177,-0.1803154051303863,0.2916320638641983,-0.5146266432803844,0.333147155304283,-0.8173043771929372,0.3176961503901215,-0.7427460004553927,1.5198359107562285,-9.1222147860509,0.0008902757947003875
43,0.2915519773960113,-0.5143734812736511,-0.4997937679290771,0.2606346607208252,-0.653724730014801,-0.5433497428894043,0.3323382139205932,-0.8177773356437683,-0.4843352138996124,0.3176321685314178,-0.7427067160606384,-0.1802584826946258,0.291457027587706,-0.5142745619122829,0.3324501934786746,-0.8175173023601586,0.3176897794819354,-0.7426744736387649,1.3706054561128724,-8.953827278601363,0.00036100783107878787
44,0.2911787033081054,-0.5140151977539062,-0.4915429651737213,0.2606159746646881,-0.6533600091934204,-0.533200204372406,0.3316564559936523,-0.8177385926246643,-0.4711688756942749,0.3176738023757934,-0.7425456643104553,-0.1795673817396164,0.2912844437276325,-0.513880676800295,0.3318192083297075,-0.8174050957040161,0.3176639044462219,-0.7425777785271812,1.2331102299255563,-8.249713571238967,8.639118167251161e-05
45,0.2911304831504822,-0.5134469866752625,-0.472889095544815,0.2606139183044433,-0.6525582075119019,-0.5153805613517761,0.331278383731842,-0.8169400691986084,-0.4581359922885895,0.3177213370800018,-0.7424991726875305,-0.1757863014936447,0.2910950841520876,-0.5134766642517258,0.3312693925208819,-0.8169721034648835,0.317611602853865,-0.7424616553827331,1.113896362932018,-7.1528320196122985,0.00017312929521728576
46,0.2909833192825317,-0.5129883289337158,-0.4674565494060516,0.2605712413787842,-0.6520528197288513,-0.5023956894874573,0.3310049474239349,-0.816217303276062,-0.4372986257076263,0.3177562355995178,-0.7424212098121643,-0.1744843572378158,0.2908830429609519,-0.5130992403402406,0.3308009438004485,-0.8162786138174097,0.3175349967499965,-0.7423381961277543,1.0159667155270673,-5.875778844297042,0.0005123715245215599
47,0.2907286286354065,-0.5126299262046814,-0.4660524129867553,0.2603771090507507,-0.6517313122749329,-0.4990426003932953,0.3304790556430816,-0.8154016137123108,-0.4330289363861084,0.3173198103904724,-0.7421446442604065,-0.1745670288801193,0.2906550941613136,-0.5127809086316194,0.3304079488145848,-0.8154236708358121,0.3174501781862624,-0.7422231665649519,0.9384062860250288,-4.653625770122307,0.0008450915658257311
48,0.2903380990028381,-0.5124980807304382,-0.4707692563533783,0.2601647675037384,-0.651455283164978,-0.5014738440513611,0.3301199674606323,-0.8145483136177063,-0.4302299916744232,0.3172710537910461,-0.7420759797096252,-0.1746871620416641,0.2904280634247735,-0.512541435293911,0.3300864976745095,-0.8145218572989509,0.3173870219952214,-0.7421318608989583,0.8768832434313172,-3.6913825556227,0.0009388698710515992
49,0.2901305854320526,-0.5123997330665588,-0.4719652533531189,0.2601178586483001,-0.6512804627418518,-0.5043717622756958,0.3297633230686188,-0.8134642243385315,-0.4354041814804077,0.3173360824584961,-0.7420686483383179,-0.1747785806655883,0.2902232963560305,-0.512384344867282,0.3298377159083773,-0.8136798815628857,0.317385030474773,-0.7420743163817075,0.824598435363401,-3.137088484074968,0.0007400477035899189
50,0.2899616062641144,-0.5123458504676819,-0.4716036021709442,0.2601091265678406,-0.651033341884613,-0.5058468580245972,0.3295550942420959,-0.8125919699668884,-0.4399324059486389,0.3175705969333648,-0.7420061230659485,-0.1748091280460357,0.2900598588910434,-0.5122995801394097,0.3296657149987687,-0.8129761069953919,0.3174898522320025,-0.7420517636043936,0.7730206018237524,-3.0946700123789173,0.00038640950012524546
51,0.2899317145347595,-0.512332022190094,-0.4730191826820373,0.2600913643836975,-0.650883674621582,-0.5064793229103088,0.3295312225818634,-0.8123490810394287,-0.4420082569122314,0.3178675770759582,-0.7420067191123962,-0.175033152103424,0.2899501591007654,-0.5122699938608816,0.3295741939542912,-0.8124469522225932,0.317753299500823,-0.7420556273850192,0.7120821455461296,-3.6563073766573706,0.00010975203521768767
