Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,Right_Shoulder (X)_smoothed_smoothed,Right_Shoulder (Y)_smoothed_smoothed,Right_Pinky (X)_smoothed_smoothed,Right_Pinky (Y)_smoothed_smoothed,Right_Hip (X)_smoothed_smoothed,Right_Hip (Y)_smoothed_smoothed,angles,velocity,roughness
38,0.225398987531662,-0.5725529789924622,-0.2995600700378418,0.2626709043979645,-0.7302627563476562,-0.3609485328197479,0.4010646641254425,-0.909742534160614,-0.4091680347919464,0.3854784369468689,-0.8210418820381165,-0.1852580159902572,0.2253582001935408,-0.5725547904196814,0.3989944970479646,-0.9110086333342128,0.3855832169038571,-0.8210805721079529,0.2254018655667828,-0.5725828635727006,0.3993421258415858,-0.9108212422472586,0.38589175501468,-0.8210684549032864,-5.326607949962506,-12.641094624972418,0.015124391011182613
39,0.2252988219261169,-0.5725189447402954,-0.2989153265953064,0.2626687586307525,-0.7299503087997437,-0.3599346876144409,0.4014455676078796,-0.9093595147132874,-0.4064576327800751,0.3853549361228943,-0.821074366569519,-0.185268148779869,0.2252958505630802,-0.5725180967987415,0.4004818196036249,-0.9093047993121672,0.3854690659357427,-0.8210823333244023,0.2253594644475803,-0.5725569558551091,0.3997980199467916,-0.9102146459081744,0.3857226686117902,-0.8210739987029473,-5.400714075334581,-4.446367522324497,0.03176890276851556
40,0.2251898348331451,-0.5724774599075317,-0.2987264990806579,0.2626674175262451,-0.7296254634857178,-0.3586007952690124,0.401768684387207,-0.9084850549697876,-0.4012187421321869,0.3854553401470184,-0.8210891485214233,-0.1852952092885971,0.2252153325426572,-0.5724765065580377,0.402025768371257,-0.907331285452632,0.3854405275833421,-0.8210891276454556,0.2253018156415134,-0.5725247755488754,0.4006891431262348,-0.9090612711743954,0.385609802683117,-0.8210800415888982,-5.357992783153262,2.563277530879162,0.04047242899541685
41,0.2251106798648834,-0.5724383592605591,-0.2983749210834503,0.2626639604568481,-0.7294982075691223,-0.3560143411159515,0.4046246707439422,-0.9040221571922302,-0.3932847678661346,0.385488212108612,-0.8211140036582947,-0.1852916926145553,0.2251189628328634,-0.572432948790706,0.4034861734856811,-0.9053200819536346,0.3854808877715185,-0.8211018580807237,0.2252286768006008,-0.5724880446611412,0.4018079759851583,-0.9075647677396772,0.3855582306951036,-0.8210887614477881,-5.227072277797078,7.855230321370996,0.036878461808290026
42,0.2250332981348037,-0.5723814368247986,-0.2979499101638794,0.2626674771308899,-0.7293211817741394,-0.3536346852779388,0.4047321081161499,-0.9026302099227904,-0.388743907213211,0.3855074644088745,-0.8211149573326111,-0.1852937489748001,0.2250100956967353,-0.5723907236449032,0.4048435351191581,-0.903459950812918,0.3855605508881469,-0.8211201910919865,0.2251412450545893,-0.5724491163445286,0.4030222125499011,-0.9059228229443284,0.3855591564338023,-0.821101329622598,-5.03696297460055,11.406558191791678,0.025934936403433417
43,0.2249178290367126,-0.5723385214805603,-0.2977797389030456,0.2626650333404541,-0.7291235327720642,-0.3529466986656189,0.4050095975399017,-0.9023041129112244,-0.3881714344024658,0.3858439028263092,-0.8211170434951782,-0.185289591550827,0.2248920985003505,-0.5723531877798227,0.4061079471516124,-0.901906766292243,0.3856472486231661,-0.8211435229558469,0.225041586057032,-0.5724107451317135,0.4042565112314438,-0.9043163928852452,0.3855943936722876,-0.8211182060274055,-4.8130012241230045,13.437705028652758,0.01449976110483704
44,0.2247218489646911,-0.5723349452018738,-0.2972905933856964,0.2626644670963287,-0.7291085720062256,-0.3519080281257629,0.4051622450351715,-0.90225750207901,-0.3880867958068847,0.3858310580253601,-0.8211637139320374,-0.185258463025093,0.2247673656204786,-0.5723235458575792,0.4072086546330235,-0.9008152821163402,0.3857161574447947,-0.8211720508338722,0.2249318970328197,-0.572375865639453,0.4054373675997362,-0.9029159491625208,0.3856431009110868,-0.8211397447987254,-4.577968062902025,14.101989673258757,0.0062810217614984645
45,0.224561259150505,-0.5723158121109009,-0.2973349690437317,0.2626606822013855,-0.7290886044502258,-0.3521763384342193,0.4053952097892761,-0.902253031730652,-0.3885584771633148,0.3857361674308777,-0.8212440609931946,-0.1852793097496032,0.2246360642560133,-0.5723049229314159,0.4079036052164919,-0.9003857312822762,0.3857569080591787,-0.8212082459491419,0.2248135630647863,-0.5723474887118162,0.4064238587637324,-0.9019038667791694,0.3856886257355068,-0.8211671468269468,-4.357477548009115,13.229430893574625,0.001772774610429458
46,0.2244680374860763,-0.5723161101341248,-0.2966009676456451,0.2626653611660003,-0.729106068611145,-0.3514466881752014,0.4061916470527649,-0.9021657705307008,-0.3886619210243225,0.385778933763504,-0.8213710188865662,-0.1852803975343704,0.2244953172661681,-0.5723006102603974,0.4077647597323686,-0.9008833782068024,0.3857749484863096,-0.8212587186709757,0.2246862641368993,-0.572328737407165,0.4069602148373418,-0.9014956769944588,0.3857231563493317,-0.8212037770622632,-4.186513161453218,10.257863193353831,0.0007083083548199765
47,0.2244084179401397,-0.5723164081573486,-0.2944942116737366,0.2626705765724182,-0.7292070984840393,-0.3489100635051727,0.4071178138256073,-0.9021373391151428,-0.3879460990428924,0.3857838213443756,-0.8213840126991272,-0.1851949989795684,0.2243402817042772,-0.5723140565265025,0.4062847944610009,-0.9025830150469916,0.3857874405274401,-0.8213352875028169,0.224547870870841,-0.5723228650649319,0.4066900434111545,-0.901930616671266,0.3857488708407901,-0.8212563822556653,-4.112138669325684,4.46246952765204,0.004428976783118578
48,0.2242541015148162,-0.5723442435264587,-0.2931914031505584,0.2626689970493316,-0.729305624961853,-0.3471028506755829,0.4075689911842346,-0.9018771648406982,-0.3875395059585571,0.3858214020729065,-0.8214114904403687,-0.1851533353328704,0.2241674807118404,-0.5723482305782877,0.4031034695590961,-0.9056271542785408,0.3858162395378207,-0.8214532685148258,0.2243957147728675,-0.57233301124139,0.4052554121282417,-0.9034092342060284,0.3857758185193405,-0.8213351372139982,-4.187584742265284,-4.526764376376029,0.016519998836771355
49,0.2240108996629715,-0.572356104850769,-0.2972716093063354,0.2626476287841797,-0.7293466925621033,-0.353603333234787,0.4074305891990661,-0.9027714133262634,-0.3997506201267242,0.3858303129673004,-0.8215191960334778,-0.1857829242944717,0.223978536552708,-0.5724044074695022,0.3982740279550131,-0.9098531085388092,0.3858801900054769,-0.8216261406269902,0.2242288436017213,-0.57236156969104,0.4024628580680378,-0.9059867846236126,0.3858175669159605,-0.8214515385926664,-4.456340003133572,-16.12531565209725,0.03958481922229736
