Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Neck Green X,Neck Green Y,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Back Orange X_smoothed,Back Orange Y_smoothed,Neck Green X_smoothed,Neck Green Y_smoothed,Leg Pink X_smoothed,Leg Pink Y_smoothed,angles,velocity,roughness
46.0,397.7843018,904.3725586,472.5,1307.5,551.0,737.5,430.0,765.5,549.0,935.5,548.9842882346853,935.3659197008576,548.9714441477228,737.5042739907177,472.50000740062615,1307.5000081007845,168.11419075752917,10.715576825294876,0.005919211525723715
47.0,397.7843018,904.3725586,472.5,1307.5,551.0,737.5,430.0,765.5,549.0,935.5,549.0260616756813,935.48097344708,549.8980152660974,737.4967308641707,472.4999970150627,1307.5000021632688,168.31990199755862,12.342674401766658,0.005729881774185052
48.0,397.7843018,904.3725586,472.5,1307.5,551.0,737.5,430.0,765.5,549.0,935.5,549.0389296514086,935.5363576267424,550.618653139401,737.4834766510571,472.49999222855206,1307.4999982843915,168.52375791630604,12.231355124845322,0.0033092545503943553
49.0,397.7843018,904.3725586,472.5,1307.5,551.0,737.5,430.0,765.5,549.0,935.5,549.0333209282916,935.5492149637306,551.0975507001612,737.4657897065451,472.4999919106113,1307.4999966740445,168.70227115325122,10.710794216710724,0.0009676326227919812
50.0,397.7843018,904.3725586,472.5,1307.5,551.0,737.5,430.0,765.5,549.0,935.5,549.0198434938832,935.5383226832628,551.3796227541139,737.4473052619757,472.4999941251504,1307.4999967770775,168.84448882852874,8.53306051665129,0.0006615142515800482
51.0,397.7843018,904.3725586,472.5,1307.5,550.8641968,737.3086548,430.0,765.5,549.0,935.5,549.0063352749672,935.5193430874048,551.5482152153697,737.4331748545706,472.4999970679899,1307.49999778473,168.95192116184393,6.445939998911285,0.0017876132469171165
52.0,397.7843018,904.3725586,472.5,1307.5,551.5,737.5,430.0,765.5,549.0,935.5,548.9969430050694,935.5023977333292,551.6799535550166,737.4279752791211,472.4999995395403,1307.4999989885891,169.03348608639695,4.89389547318126,0.0025010428311457427
53.0,397.7843018,904.3725586,472.5,1307.5,552.1358032,737.3086548,430.0,765.5,549.0,935.5,548.9926432872072,935.4919953428428,551.819228851231,737.4334893158623,472.5000010242727,1307.4999999441363,169.0994412174188,3.957307861311961,0.002088803189241198
54.0,397.7843018,904.3725586,472.5,1307.5,552.0,737.5,430.0,765.5,549.0,935.5,548.992429239068,935.488453783682,551.976635230324,737.4477744525697,472.5000015321487,1307.5000004820902,169.15733620461495,3.473699231768137,0.0011763697440612987
55.0,397.7843018,904.3725586,472.5,1307.5,552.0,737.5,430.0,765.5,549.0,935.5,548.994526581448,935.489813569338,552.1409234750791,737.4661168846719,472.50000135696087,1307.500000633346,169.2107290022476,3.2035678579592286,0.00048021746983865064
