Frame #,Right_Knee (X),Right_Knee (Y),Right_Knee (Z),Left_Knee (X),Left_Knee (Y),Left_Knee (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Left_Hip (X),Left_Hip (Y),Left_Hip (Z),Nose (X),Nose (Y),Nose (Z),corrected_angles,Left_Hip (X)_smoothed,Left_Hip (Y)_smoothed,Left_Knee (X)_smoothed,Left_Knee (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,angles,velocity,roughness
46,0.5854856967926025,-0.7316048741340637,0.1863417029380798,0.4428624510765075,-0.7209517955780029,0.033617977052927,0.5675578713417053,-0.5802886486053467,0.0363872945308685,0.4474486708641052,-0.5810386538505554,-0.0365876145660877,0.5218381285667419,-0.3262360394001007,0.2932842969894409,194.3977013630031,0.4474466854509584,-0.5810457696657236,0.4428686279401031,-0.7209336491615559,0.5218426202049116,-0.3262382925511395,194.40069204736065,0.0423178901831988,9.269512354280845e-05
47,0.5854624509811401,-0.7316073179244995,0.1866788119077682,0.4428668618202209,-0.7210066318511963,0.0328747183084487,0.5675477981567383,-0.5803024768829346,0.0365711972117424,0.4474533498287201,-0.5810481309890747,-0.0367733538150787,0.5218270421028137,-0.3262122571468353,0.2907982766628265,194.39292165795095,0.4474583386435213,-0.5810487387677973,0.4428686254586743,-0.7209625032262104,0.5218291158441654,-0.3262240416722017,194.39684502955384,-0.2308210684083178,8.16954164055777e-05
48,0.5854540467262268,-0.7316084504127502,0.1875815391540527,0.4428678452968597,-0.720966637134552,0.033559963107109,0.5675264000892639,-0.5803449749946594,0.0365703701972961,0.4474686086177826,-0.5810856223106384,-0.036773394793272,0.521819531917572,-0.326208233833313,0.2850096821784973,194.37881497351776,0.4474753624840438,-0.5810554489783709,0.442870241327903,-0.7209567715404119,0.5218160622070063,-0.3262126935840825,194.3890191883252,-0.4695504737190958,6.339931132087989e-05
49,0.585415244102478,-0.7315883040428162,0.1876464486122131,0.442875862121582,-0.7208927273750305,0.033722136169672,0.5675137042999268,-0.5803548693656921,0.0365647934377193,0.4474863409996032,-0.5810968279838562,-0.0367678292095661,0.5218163728713989,-0.3262038826942444,0.2859551906585693,194.36842318687533,0.4474979458957695,-0.5810671020616155,0.4428736048867384,-0.720922866059234,0.5218037971010709,-0.3262043592287147,194.3775607435713,-0.6875066852330747,4.783727463705292e-05
50,0.585412323474884,-0.7315644025802612,0.1877253949642181,0.4428789913654327,-0.72086501121521,0.0342885069549083,0.5675041079521179,-0.5803562998771667,0.0365569815039634,0.4475258886814117,-0.5810964107513428,-0.0367606915533542,0.5217863917350769,-0.3261977434158325,0.2867719531059265,194.33839123592105,0.4475250272591467,-0.5810863979955908,0.4428779877522981,-0.7208711655309847,0.5217922133957258,-0.3261981649603119,194.36276351833317,-0.8878335142884453,3.74202075695477e-05
51,0.5853910446166992,-0.7315801382064819,0.1876506060361862,0.442885160446167,-0.720811665058136,0.0354429371654987,0.5674818754196167,-0.5803595781326294,0.0363974049687385,0.4475583136081695,-0.5810934901237488,-0.0366026274859905,0.521784245967865,-0.3261930644512176,0.288797527551651,194.31968026728356,0.4475545008574939,-0.581116687145372,0.4428823947870401,-0.7208131521680303,0.5217812059554994,-0.3261924523489366,194.3450722701303,-1.0614748921727823,3.014137675322756e-05
52,0.5853742957115173,-0.7315863966941833,0.1876495778560638,0.4428883790969848,-0.7207199931144714,0.0378639511764049,0.5674712061882019,-0.5804059505462646,0.0359898209571838,0.447591483592987,-0.5811043977737427,-0.0361974909901618,0.5217799544334412,-0.3261936604976654,0.2910545766353607,194.2976116862722,0.447583797351285,-0.5811599554018563,0.4428861240620731,-0.720758915476873,0.5217708518865553,-0.3261851468652635,194.3252241838029,-1.1908851796431463,2.3128826620337978e-05
53,0.5853667855262756,-0.7316133379936218,0.1877000033855438,0.4428938329219818,-0.7207186222076416,0.0386720150709152,0.5674559473991394,-0.5804909467697144,0.0359657704830169,0.4476108253002167,-0.5811616778373718,-0.0361740551888942,0.5217565894126892,-0.326168030500412,0.2906622588634491,194.27726010707136,0.4476105805119769,-0.5812147007698585,0.4428892121808654,-0.7207155086730285,0.5217613714731327,-0.3261741265119434,194.3042950081135,-1.2557505413633407,1.4893419322604555e-05
54,0.5853614807128906,-0.7316450476646423,0.1885428875684738,0.4428969025611877,-0.7207173705101013,0.0442589484155178,0.5674474835395813,-0.580680787563324,0.0356425419449806,0.4476403295993805,-0.5813039541244507,-0.0358552895486354,0.5217412114143372,-0.3261407017707824,0.2919120490550995,194.2449121285465,0.4476332832199776,-0.5812752549392619,0.442892706324778,-0.7206862783060373,0.5217529143277464,-0.3261575046454571,194.28364447929604,-1.239031729048179,6.5766162444245294e-06
55,0.5853575468063354,-0.7316488027572632,0.1889398097991943,0.4429031908512115,-0.7206431031227112,0.0453083552420139,0.567439079284668,-0.5807979106903076,0.0352439060807228,0.4476534426212311,-0.5813825130462646,-0.0354609154164791,0.5217423439025879,-0.3261373341083526,0.2915739417076111,194.23256492014747,0.4476513463216322,-0.5813333915257204,0.4428987082171666,-0.7206709733516617,0.5217452744490879,-0.3261339273914633,194.2647674642875,-1.1326209005125063,1.7744758105510771e-06
